rpttime,hmc,server,lpar,metric,value
27-02-18 3:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
27-02-18 3:45,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 3:50,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
27-02-18 3:55,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
27-02-18 4:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
27-02-18 4:05,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 4:10,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 4:15,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3000031
27-02-18 4:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151.8999939
27-02-18 4:25,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 4:30,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 4:35,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 4:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.3000031
27-02-18 4:45,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.3000031
27-02-18 4:50,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 4:55,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
27-02-18 5:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 5:05,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 5:10,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
27-02-18 5:15,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 5:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
27-02-18 5:25,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 5:30,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 5:35,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 5:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 5:45,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 5:50,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 5:55,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 6:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 6:05,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 6:10,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 6:15,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 6:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 6:25,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 6:30,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.3000031
27-02-18 6:35,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.3000031
27-02-18 6:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.3000031
27-02-18 6:45,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 6:50,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 6:55,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
27-02-18 7:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
27-02-18 7:05,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 7:10,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
27-02-18 7:15,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
27-02-18 7:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
27-02-18 7:25,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
27-02-18 7:30,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 7:35,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 7:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
27-02-18 7:45,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
27-02-18 7:50,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 7:55,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
27-02-18 8:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
27-02-18 8:05,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
27-02-18 8:10,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
27-02-18 8:15,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
27-02-18 8:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
27-02-18 8:25,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
27-02-18 8:30,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
27-02-18 8:35,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
27-02-18 8:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
